Field Name | Type | Description

id | string | Unique identifier (UUID or Firestore ID)
createdAt | timestamp | Date the entry was added
createdByAdminId | string | Admin who added it
deadline | timestamp | Deadline for application
lastUpdatedAt | timestamp | Last update timestamp
lastUpdatedByAdminId | string | Admin who last modified it
name | string | Name of the external scholarship
url | string | Direct link to the scholarship application page
sponsor | string | (optional) Scholarship provider/sponsor name
